nom,code_insee,codes_postaux,siren,code_epci,code_departement,code_region,population
Aubervilliers,93001,93300,219300019,200054781,93,11,89489
Aulnay-sous-Bois,93005,93600,219300050,200054781,93,11,86360
Bagnolet,93006,93170,219300068,200054781,93,11,41776
Le Blanc-Mesnil,93007,93150,219300076,200054781,93,11,59912
Bobigny,93008,93000,219300084,200054781,93,11,55270
Bondy,93010,93140,219300100,200054781,93,11,51066
Le Bourget,93013,93350,219300134,200054781,93,11,15052
Clichy-sous-Bois,93014,93390,219300142,200054781,93,11,29551
Coubron,93015,93470,219300159,200054781,93,11,5156
La Courneuve,93027,93120,219300274,200054781,93,11,47086
Drancy,93029,93700,219300290,200054781,93,11,71312
Dugny,93030,93440,219300308,200054781,93,11,11723
Épinay-sur-Seine,93031,93800,219300316,200054781,93,11,53564
Gagny,93032,93220,219300324,200054781,93,11,40790
Gournay-sur-Marne,93033,93460,219300332,200054781,93,11,7101
L'Île-Saint-Denis,93039,93450,219300399,200054781,93,11,8682
Les Lilas,93045,93260,219300456,200054781,93,11,23262
Livry-Gargan,93046,93190,219300464,200054781,93,11,46507
Montfermeil,93047,93370,219300472,200054781,93,11,28257
Montreuil,93048,93100,219300480,200054781,93,11,110758
Neuilly-Plaisance,93049,93360,219300498,200054781,93,11,21914
Neuilly-sur-Marne,93050,93330,219300506,200054781,93,11,38799
Noisy-le-Grand,93051,93160,219300514,200054781,93,11,71632
Noisy-le-Sec,93053,93130,219300530,200054781,93,11,45915
Pantin,93055,93500,219300555,200054781,93,11,60954
Les Pavillons-sous-Bois,93057,93320,219300571,200054781,93,11,24872
Pierrefitte-sur-Seine,93059,93380,219300597,200054781,93,11,33670
Le Pré-Saint-Gervais,93061,93310,219300613,200054781,93,11,16733
Le Raincy,93062,93340,219300621,200054781,93,11,14778
Romainville,93063,93230,219300639,200054781,93,11,35314
Rosny-sous-Bois,93064,93110,219300647,200054781,93,11,45947
Saint-Denis,93066,"93200, 93210",219300662,200054781,93,11,115237
Saint-Ouen-sur-Seine,93070,93400,219300704,200054781,93,11,53041
Sevran,93071,93270,219300712,200054781,93,11,51640
Stains,93072,93240,219300720,200054781,93,11,40600
Tremblay-en-France,93073,93290,219300738,200054781,93,11,38210
Vaujours,93074,93410,219300746,200054781,93,11,7743
Villemomble,93077,93250,219300779,200054781,93,11,29973
Villepinte,93078,93420,219300787,200054781,93,11,39647
Villetaneuse,93079,93430,219300795,200054781,93,11,12432
