Commune créée,Communes supprimées,Régime,Décision,Date d’effet
Saint-Denis,Saint-Denis,commune nouvelle (avec communes déléguées),Arrêté préfectoral du 13 juin 2024[Off. 3],1er janvier 2025
Saint-Denis,Pierrefitte-sur-Seine,commune nouvelle (avec communes déléguées),Arrêté préfectoral du 13 juin 2024[Off. 3],1er janvier 2025
Aubervilliers,Aubervilliers,Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Aubervilliers,"La Chapelle[d],[e]",Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Bagnolet,Bagnolet,Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Bagnolet,"Charonne[d],[f]",Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Montreuil,Montreuil,Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Montreuil,"Charonne[d],[f]",Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Saint-Ouen,Saint-Ouen,Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Saint-Ouen,La Chapelle[e],Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Saint-Ouen,Montmartre[d],Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Saint-Denis,Saint-Denis,Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
Saint-Denis,"La Chapelle[d],[e]",Fusion simple,Loi du 16 juin 1859[Off. 4],1er janvier 1860
