La commune de ...,... cède du territoire à la commune de ...,Précisions,Décision
Bobigny,Pantin,Superficie de 22 a 74 ca,Décret du 26 octobre 1995[Off. 16]
Pantin,Bobigny,Superficie de 25 a 6 ca,Décret du 26 octobre 1995[Off. 16]
Livry-Gargan,Vaujours,Superficie de 5 a 43 ca,Décret du 26 octobre 1995[Off. 16]
Vaujours,Livry-Gargan,Superficie de 5 a 43 ca,Décret du 26 octobre 1995[Off. 16]
Sevran,Villepinte,Superficie de 2 a 4 ca,Décret du 24 avril 1979[Off. 17]
Sevran,Aulnay-sous-Bois,Superficie de 7 a 98 ca,Décret du 24 avril 1979[Off. 17]
Aulnay-sous-Bois,Sevran,Superficie de 7 a 49 ca,Décret du 24 avril 1979[Off. 17]
La Courneuve,Aubervilliers,Superficie de 14 a 37 ca,Décret du 30 octobre 1978[Off. 18]
Aubervilliers,La Courneuve,Superficie de 31 ca,Décret du 30 octobre 1978[Off. 18]
Le Blanc-Mesnil,Dugny,Superficie de 1 ha 11 a 53 ca,Décret du 13 décembre 1976[Off. 19]
Les Pavillons-sous-Bois,Livry-Gargan,,Décret du 15 octobre 1974[Off. 20]
Clichy-sous-Bois Livry-Gargan,Livry-Gargan Clichy-sous-Bois,,Décret du 11 octobre 1974[Off. 21]
Le Bourget La Courneuve,La Courneuve Le Bourget,,Décret du 1er octobre 1974[Off. 22]
Montreuil,Bagnolet,16 habitants,Décret du 17 juin 1974[Off. 23]
Bagnolet,Montreuil,,Décret du 17 juin 1974[Off. 23]
La Courneuve,Saint-Denis,Superficie de 3 ha 35 a 9 ca,Décret du 12 août 1970[Off. 24]
Saint-Denis,Stains,Superficie de 1 ha 43 a 79 ca,Décret du 12 août 1970[Off. 24]
Saint-Denis,La Courneuve,Superficie de 1 ha 01 a 86 ca,Décret du 19 mai 1969[Off. 25]
Gagny,Clichy-sous-Bois,,Arrêté préfectoral du 28 février 1953[Off. 26]
Aulnay-sous-Bois Le Blanc-Mesnil,Le Blanc-Mesnil Aulnay-sous-Bois,,Arrêté préfectoral du 28 février 1953[Off. 26]
Les Pavillons-sous-Bois Le Raincy,Le Raincy Les Pavillons-sous-Bois,,Décret du 12 juillet 1938[Off. 27]
Bry-sur-Marne (94) Noisy-le-Grand,Noisy-le-Grand Bry-sur-Marne (94),,Décret du 12 juillet 1938[Off. 27]
Drancy Le Blanc-Mesnil,Le Blanc-Mesnil Drancy,,Décret du 5 juillet 1931[Off. 28]
Livry-Gargan Les Pavillons-sous-Bois,Les Pavillons-sous-Bois Livry-Gargan,,Décret du 5 juillet 1931[Off. 28]
Épinay-sur-Seine Deuil (95),Deuil (95) Épinay-sur-Seine,Limite constituée par le nouveau tracé de l'axe de grande communication n°23 bis,Décret du 13 juillet 1930[Off. 29]
Le Perreux (94) Neuilly-Plaisance Villemomble,Neuilly-Plaisance Villemomble Le Perreux (94),,Loi du 19 février 1902[Off. 30]
Bondy Livry,Livry Bondy,,Loi du 12 juin 1891[Off. 31]
Bagnolet,Les Lilas,,Décret du 20 avril 1887[Off. 32]
Dugny La Courneuve Drancy,Le Bourget,,Loi du 23 mai 1877[Off. 33]
Saint-Ouen,18e arrondissement de Paris,Quartier de Clignancourt,Loi du 16 juin 1859[Off. 4]
Montreuil,Rosny,Fort de Rosny,Loi du 5 août 1851[Off. 34]
Épinay,Saint-Denis,Fort de la Briche,Loi du 5 août 1851[Off. 34]
La Courneuve,Saint-Denis,Fort de l'Est,Loi du 5 août 1851[Off. 34]
Noisy-le-Sec,Romainville,Fort de Noisy-le-Sec,Loi du 5 août 1851[Off. 34]
Pantin,Romainville,Fort de Romainville,Loi du 5 août 1851[Off. 34]
Pantin,Aubervilliers,Fort d'Aubervilliers,Loi du 5 août 1851[Off. 34]
